Energy Deposit (MeV), Count
0.0005, 1947
0.0015, 2012
0.0025, 1955
0.0035, 1980
0.0045, 1932
0.0055, 1975
0.0065, 1966
0.0075, 1998
0.0085, 2080
0.0095, 2289
0.0105, 2042
0.0115, 2028
0.0125, 1965
0.0135, 1991
0.0145, 1931
0.0155, 1963
0.0165, 1933
0.0175, 1960
0.0185, 1862
0.0195, 1894
0.0205, 1906
0.0215, 1942
0.0225, 1865
0.0235, 1814
0.0245, 1861
0.0255, 1832
0.0265, 1964
0.0275, 1965
0.0285, 1951
0.0295, 1840
0.0305, 1858
0.0315, 1886
0.0325, 1925
0.0335, 1894
0.0345, 1894
0.0355, 1915
0.0365, 1891
0.0375, 1878
0.0385, 1869
0.0395, 1859
0.0405, 1803
0.0415, 1832
0.0425, 1837
0.0435, 1835
0.0445, 1796
0.0455, 1820
0.0465, 1775
0.0475, 1795
0.0485, 1832
0.0495, 1962
0.0505, 1871
0.0515, 1809
0.0525, 1799
0.0535, 1842
0.0545, 1889
0.0555, 1864
0.0565, 2014
0.0575, 1983
0.0585, 10787
0.0595, 18247
0.0605, 1832
0.0615, 1837
0.0625, 1863
0.0635, 1867
0.0645, 1868
0.0655, 1802
0.0665, 1887
0.0675, 8702
0.0685, 1743
0.0695, 3848
0.0705, 1729
0.0715, 1652
0.0725, 1709
0.0735, 1761
0.0745, 1675
0.0755, 1706
0.0765, 1725
0.0775, 1712
0.0785, 1690
0.0795, 1682
0.0805, 1648
0.0815, 1677
0.0825, 1701
0.0835, 1632
0.0845, 1704
0.0855, 1678
0.0865, 1657
0.0875, 1696
0.0885, 1690
0.0895, 1698
0.0905, 1698
0.0915, 1691
0.0925, 1644
0.0935, 1662
0.0945, 1750
0.0955, 1691
0.0965, 1728
0.0975, 1544
0.0985, 1619
0.0995, 1667
0.1005, 1629
0.1015, 1613
0.1025, 1676
0.1035, 1661
0.1045, 1593
0.1055, 1634
0.1065, 1675
0.1075, 1627
0.1085, 1558
0.1095, 1647
0.1105, 1619
0.1115, 1626
0.1125, 1619
0.1135, 1571
0.1145, 1593
0.1155, 1619
0.1165, 1554
0.1175, 1676
0.1185, 1576
0.1195, 1540
0.1205, 1614
0.1215, 1592
0.1225, 1582
0.1235, 1622
0.1245, 1532
0.1255, 1610
0.1265, 1623
0.1275, 1672
0.1285, 1616
0.1295, 1544
0.1305, 1526
0.1315, 1604
0.1325, 1615
0.1335, 1548
0.1345, 1584
0.1355, 1552
0.1365, 1587
0.1375, 1545
0.1385, 1543
0.1395, 1524
0.1405, 1540
0.1415, 1580
0.1425, 1634
0.1435, 1574
0.1445, 1568
0.1455, 1520
0.1465, 1600
0.1475, 1571
0.1485, 1527
0.1495, 1554
0.1505, 1561
0.1515, 1590
0.1525, 1546
0.1535, 1552
0.1545, 1513
0.1555, 1506
0.1565, 1565
0.1575, 1501
0.1585, 1578
0.1595, 1522
0.1605, 1503
0.1615, 1523
0.1625, 1504
0.1635, 1608
0.1645, 1506
0.1655, 1487
0.1665, 1421
0.1675, 1502
0.1685, 1545
0.1695, 1472
0.1705, 1561
0.1715, 1600
0.1725, 1589
0.1735, 1573
0.1745, 1593
0.1755, 1632
0.1765, 1533
0.1775, 1602
0.1785, 1626
0.1795, 1591
0.1805, 1517
0.1815, 1520
0.1825, 1609
0.1835, 1597
0.1845, 1628
0.1855, 1625
0.1865, 1653
0.1875, 1593
0.1885, 1473
0.1895, 1635
0.1905, 1650
0.1915, 1614
0.1925, 1628
0.1935, 1636
0.1945, 1597
0.1955, 1564
0.1965, 1531
0.1975, 1601
0.1985, 1570
0.1995, 1579
0.2005, 1554
0.2015, 1524
0.2025, 1464
0.2035, 1599
0.2045, 1523
0.2055, 1527
0.2065, 1473
0.2075, 1504
0.2085, 1522
0.2095, 1488
0.2105, 1494
0.2115, 1552
0.2125, 1611
0.2135, 1496
0.2145, 1492
0.2155, 1540
0.2165, 1491
0.2175, 1490
0.2185, 1539
0.2195, 1416
0.2205, 1507
0.2215, 1488
0.2225, 1453
0.2235, 1538
0.2245, 1539
0.2255, 1517
0.2265, 1482
0.2275, 1514
0.2285, 1574
0.2295, 1452
0.2305, 1496
0.2315, 1593
0.2325, 1470
0.2335, 1496
0.2345, 1503
0.2355, 1438
0.2365, 1517
0.2375, 1548
0.2385, 1504
0.2395, 1536
0.2405, 1488
0.2415, 1528
0.2425, 1468
0.2435, 1552
0.2445, 1495
0.2455, 1465
0.2465, 1486
0.2475, 1499
0.2485, 1528
0.2495, 1554
0.2505, 1449
0.2515, 1515
0.2525, 1739
0.2535, 1468
0.2545, 1516
0.2555, 1454
0.2565, 1508
0.2575, 1536
0.2585, 1584
0.2595, 1549
0.2605, 1507
0.2615, 1477
0.2625, 1540
0.2635, 1512
0.2645, 1588
0.2655, 1545
0.2665, 1590
0.2675, 1543
0.2685, 1499
0.2695, 1598
0.2705, 1639
0.2715, 1567
0.2725, 1569
0.2735, 1532
0.2745, 1601
0.2755, 1501
0.2765, 1634
0.2775, 1644
0.2785, 1580
0.2795, 1522
0.2805, 1593
0.2815, 1622
0.2825, 1603
0.2835, 1662
0.2845, 1644
0.2855, 1560
0.2865, 1727
0.2875, 1697
0.2885, 1735
0.2895, 1684
0.2905, 1684
0.2915, 1733
0.2925, 1742
0.2935, 1679
0.2945, 1717
0.2955, 1706
0.2965, 1713
0.2975, 1772
0.2985, 1813
0.2995, 1831
0.3005, 1814
0.3015, 1844
0.3025, 1866
0.3035, 1868
0.3045, 1929
0.3055, 2003
0.3065, 1885
0.3075, 1879
0.3085, 1962
0.3095, 1945
0.3105, 2032
0.3115, 2051
0.3125, 2057
0.3135, 2080
0.3145, 2108
0.3155, 2107
0.3165, 2084
0.3175, 2248
0.3185, 2249
0.3195, 2207
0.3205, 2211
0.3215, 2360
0.3225, 2283
0.3235, 2408
0.3245, 2361
0.3255, 2351
0.3265, 2376
0.3275, 2437
0.3285, 2506
0.3295, 2558
0.3305, 2391
