BinCenter,Count
0.0005,65009
0.0015,68494
0.0025,70196
0.0035,70171
0.0045,71171
0.0055,71518
0.0065,71558
0.0075,72196
0.0085,73552
0.0095,75369
0.0105,73522
0.0115,72753
0.0125,72570
0.0135,72271
0.0145,71736
0.0155,70979
0.0165,70705
0.0175,71269
0.0185,70341
0.0195,70309
0.0205,69956
0.0215,69105
0.0225,69043
0.0235,69425
0.0245,69218
0.0255,68889
0.0265,68275
0.0275,68191
0.0285,67581
0.0295,67192
0.0305,67254
0.0315,66611
0.0325,66797
0.0335,66421
0.0345,66782
0.0355,65921
0.0365,66025
0.0375,65912
0.0385,65289
0.0395,65571
0.0405,65370
0.0415,65275
0.0425,65165
0.0435,64663
0.0445,64599
0.0455,64702
0.0465,64048
0.0475,64453
0.0485,65565
0.0495,66036
0.0505,63770
0.0515,64339
0.0525,63984
0.0535,64223
0.0545,63308
0.0555,63949
0.0565,63766
0.0575,64113
0.0585,167407
0.0595,254976
0.0605,62903
0.0615,63137
0.0625,63560
0.0635,63348
0.0645,63040
0.0655,63142
0.0665,63628
0.0675,145287
0.0685,62319
0.0695,86735
0.0705,61574
0.0715,61548
0.0725,61736
0.0735,61316
0.0745,61327
0.0755,60940
0.0765,60818
0.0775,60877
0.0785,61118
0.0795,61076
0.0805,60661
0.0815,60269
0.0825,60531
0.0835,60711
0.0845,60336
0.0855,59875
0.0865,60401
0.0875,60219
0.0885,59591
0.0895,59837
0.0905,59664
0.0915,59851
0.0925,59534
0.0935,59559
0.0945,59462
0.0955,59317
0.0965,59518
0.0975,59301
0.0985,58841
0.0995,58887
0.1005,58969
0.1015,58696
0.1025,58841
0.1035,58484
0.1045,58479
0.1055,58815
0.1065,58391
0.1075,58060
0.1085,58205
0.1095,58298
0.1105,58022
0.1115,58338
0.1125,58022
0.1135,57811
0.1145,57873
0.1155,57978
0.1165,58067
0.1175,58031
0.1185,58431
0.1195,57551
0.1205,57630
0.1215,57132
0.1225,57267
0.1235,56880
0.1245,57209
0.1255,57324
0.1265,57496
0.1275,57249
0.1285,57105
0.1295,56847
0.1305,57066
0.1315,57075
0.1325,56204
0.1335,56823
0.1345,56162
0.1355,56302
0.1365,56756
0.1375,56570
0.1385,56498
0.1395,56436
0.1405,56211
0.1415,56085
0.1425,56183
0.1435,56339
0.1445,56269
0.1455,55854
0.1465,55892
0.1475,55977
0.1485,55693
0.1495,56331
0.1505,55873
0.1515,55790
0.1525,55725
0.1535,55956
0.1545,56223
0.1555,55723
0.1565,55788
0.1575,55533
0.1585,55915
0.1595,55561
0.1605,56202
0.1615,55969
0.1625,55366
0.1635,55524
0.1645,55634
0.1655,56058
0.1665,55882
0.1675,56050
0.1685,55806
0.1695,55805
0.1705,66637
0.1715,67157
0.1725,64231
0.1735,62325
0.1745,61321
0.1755,60702
0.1765,60683
0.1775,60532
0.1785,60666
0.1795,60602
0.1805,60723
0.1815,60597
0.1825,60670
0.1835,60373
0.1845,60478
0.1855,60630
0.1865,60143
0.1875,60491
0.1885,60353
0.1895,60310
0.1905,60183
0.1915,60348
0.1925,60245
0.1935,59348
0.1945,59936
0.1955,60136
0.1965,59731
0.1975,59670
0.1985,59653
0.1995,59254
0.2005,59796
0.2015,59290
0.2025,59382
0.2035,58932
0.2045,58917
0.2055,58989
0.2065,59005
0.2075,59023
0.2085,58713
0.2095,58607
0.2105,58510
0.2115,58511
0.2125,59195
0.2135,63393
0.2145,62065
0.2155,61679
0.2165,60960
0.2175,60847
0.2185,59585
0.2195,59720
0.2205,59817
0.2215,59135
0.2225,59094
0.2235,59086
0.2245,59125
0.2255,58932
0.2265,58953
0.2275,58272
0.2285,59007
0.2295,58493
0.2305,59123
0.2315,58419
0.2325,58731
0.2335,58500
0.2345,58582
0.2355,58512
0.2365,57935
0.2375,58500
0.2385,57524
0.2395,57974
0.2405,58516
0.2415,58133
0.2425,58005
0.2435,57772
0.2445,58100
0.2455,57908
0.2465,58340
0.2475,57830
0.2485,57513
0.2495,57749
0.2505,57398
0.2515,58024
0.2525,64621
0.2535,57745
0.2545,57887
0.2555,57831
0.2565,57433
0.2575,57590
0.2585,57800
0.2595,57626
0.2605,57296
0.2615,58015
0.2625,57128
0.2635,57615
0.2645,57684
0.2655,57979
0.2665,57926
0.2675,57888
0.2685,58039
0.2695,58029
0.2705,57833
0.2715,57999
0.2725,58483
0.2735,58300
0.2745,58255
0.2755,57825
0.2765,58381
0.2775,58176
0.2785,58424
0.2795,58686
0.2805,59209
0.2815,58920
0.2825,59551
0.2835,59117
0.2845,59784
0.2855,59276
0.2865,60055
0.2875,59890
0.2885,59965
0.2895,60497
0.2905,61011
0.2915,60822
0.2925,61535
0.2935,61459
0.2945,61849
0.2955,61956
0.2965,62139
0.2975,62590
0.2985,62960
0.2995,63070
0.3005,63607
0.3015,63923
0.3025,64503
0.3035,64364
0.3045,64794
0.3055,66067
0.3065,66155
0.3075,66483
0.3085,66783
0.3095,67572
0.3105,68216
0.3115,69255
0.3125,68889
0.3135,69940
0.3145,70252
0.3155,71169
0.3165,71544
0.3175,72740
0.3185,73651
0.3195,74548
0.3205,75071
0.3215,76208
0.3225,76686
0.3235,77753
0.3245,78607
0.3255,79845
0.3265,81089
0.3275,82428
0.3285,83936
0.3295,85188
0.3305,85958
0.3315,87694
0.3325,89488
0.3335,90882
0.3345,92704
0.3355,94517
0.3365,96582
0.3375,98808
0.3385,101117
0.3395,104067
0.3405,86765
0.3415,44897
0.3425,44608
0.3435,43862
0.3445,43285
0.3455,43038
0.3465,42292
0.3475,41854
0.3485,41662
0.3495,40963
0.3505,40489
0.3515,40016
0.3525,39463
0.3535,39209
0.3545,38897
