BinCenter,Count
0.0005,10546
0.0015,10724
0.0025,10773
0.0035,10730
0.0045,10770
0.0055,10772
0.0065,10691
0.0075,10821
0.0085,10859
0.0095,11152
0.0105,10533
0.0115,10528
0.0125,10687
0.0135,10591
0.0145,10514
0.0155,10609
0.0165,10533
0.0175,10620
0.0185,10508
0.0195,10654
0.0205,10475
0.0215,10511
0.0225,10466
0.0235,10548
0.0245,10343
0.0255,10284
0.0265,10456
0.0275,10294
0.0285,10386
0.0295,10392
0.0305,10316
0.0315,10214
0.0325,10362
0.0335,10461
0.0345,10416
0.0355,10397
0.0365,10173
0.0375,10242
0.0385,10338
0.0395,10282
0.0405,10405
0.0415,10410
0.0425,10377
0.0435,10316
0.0445,10159
0.0455,10245
0.0465,10209
0.0475,10134
0.0485,10298
0.0495,10541
0.0505,10290
0.0515,10245
0.0525,10150
0.0535,10451
0.0545,10334
0.0555,10501
0.0565,10358
0.0575,10433
0.0585,27312
0.0595,41670
0.0605,10271
0.0615,10283
0.0625,10369
0.0635,10132
0.0645,10375
0.0655,10326
0.0665,10297
0.0675,24838
0.0685,10303
0.0695,14290
0.0705,10017
0.0715,9796
0.0725,9940
0.0735,9983
0.0745,10023
0.0755,9853
0.0765,9777
0.0775,9816
0.0785,9840
0.0795,9892
0.0805,9802
0.0815,9986
0.0825,9926
0.0835,9882
0.0845,9915
0.0855,9738
0.0865,9783
0.0875,9832
0.0885,9839
0.0895,10044
0.0905,10034
0.0915,9909
0.0925,9899
0.0935,9932
0.0945,10016
0.0955,9874
0.0965,9855
0.0975,9990
0.0985,9707
0.0995,9915
0.1005,9677
0.1015,9776
0.1025,9612
0.1035,9953
0.1045,9807
0.1055,9676
0.1065,9741
0.1075,9738
0.1085,9735
0.1095,9800
0.1105,9650
0.1115,9474
0.1125,9727
0.1135,9517
0.1145,9578
0.1155,9553
0.1165,9546
0.1175,9733
0.1185,9893
0.1195,9523
0.1205,9500
0.1215,9572
0.1225,9545
0.1235,9486
0.1245,9333
0.1255,9362
0.1265,9716
0.1275,9599
0.1285,9341
0.1295,9557
0.1305,9371
0.1315,9412
0.1325,9436
0.1335,9358
0.1345,9298
0.1355,9474
0.1365,9345
0.1375,9407
0.1385,9413
0.1395,9205
0.1405,9441
0.1415,9449
0.1425,9215
0.1435,9254
0.1445,9359
0.1455,9303
0.1465,9160
0.1475,9217
0.1485,9327
0.1495,9549
0.1505,9345
0.1515,9146
0.1525,9239
0.1535,9562
0.1545,9397
0.1555,9257
0.1565,9300
0.1575,9291
0.1585,9444
0.1595,9221
0.1605,9329
0.1615,9334
0.1625,9193
0.1635,9299
0.1645,9362
0.1655,9300
0.1665,9433
0.1675,9201
0.1685,9441
0.1695,9262
0.1705,9431
0.1715,9511
0.1725,9330
0.1735,9313
0.1745,9267
0.1755,9315
0.1765,9178
0.1775,9356
0.1785,9190
0.1795,9234
0.1805,9435
0.1815,9383
0.1825,9540
0.1835,9414
0.1845,9397
0.1855,9326
0.1865,9258
0.1875,9215
0.1885,9475
0.1895,9416
0.1905,9414
0.1915,9309
0.1925,9419
0.1935,9446
0.1945,9412
0.1955,9597
0.1965,9483
0.1975,9544
0.1985,9604
0.1995,9352
0.2005,9539
0.2015,9653
0.2025,9555
0.2035,9495
0.2045,9493
0.2055,9506
0.2065,9542
0.2075,9581
0.2085,9593
0.2095,9613
0.2105,9610
0.2115,9606
0.2125,11092
0.2135,17559
0.2145,15830
0.2155,14594
0.2165,13817
0.2175,13218
0.2185,12970
0.2195,12409
0.2205,12275
0.2215,12118
0.2225,12096
0.2235,11677
0.2245,11897
0.2255,11596
0.2265,11509
0.2275,11565
0.2285,11566
0.2295,11454
0.2305,11352
0.2315,11220
0.2325,11139
0.2335,11070
0.2345,11042
0.2355,11011
0.2365,11003
