BinCenter,Count
0.0005,6417
0.0015,6472
0.0025,6551
0.0035,6431
0.0045,6588
0.0055,6436
0.0065,6518
0.0075,6680
0.0085,6687
0.0095,6824
0.0105,6607
0.0115,6801
0.0125,6555
0.0135,6587
0.0145,6606
0.0155,6521
0.0165,6597
0.0175,6500
0.0185,6617
0.0195,6472
0.0205,6477
0.0215,6488
0.0225,6372
0.0235,6402
0.0245,6453
0.0255,6444
0.0265,6550
0.0275,6407
0.0285,6425
0.0295,6338
0.0305,6284
0.0315,6226
0.0325,6338
0.0335,6144
0.0345,6306
0.0355,6175
0.0365,6109
0.0375,6042
0.0385,6122
0.0395,6030
0.0405,6030
0.0415,6141
0.0425,6036
0.0435,5956
0.0445,6194
0.0455,6066
0.0465,5960
0.0475,6044
0.0485,6032
0.0495,6271
0.0505,6007
0.0515,6108
0.0525,5993
0.0535,6015
0.0545,5900
0.0555,6040
0.0565,6156
0.0575,6012
0.0585,11969
0.0595,16656
0.0605,5908
0.0615,5796
0.0625,6096
0.0635,5870
0.0645,6034
0.0655,5923
0.0665,6000
0.0675,10353
0.0685,5914
0.0695,7008
0.0705,5874
0.0715,5752
0.0725,5762
0.0735,5881
0.0745,5658
0.0755,5681
0.0765,5745
0.0775,5696
0.0785,5659
0.0795,5743
0.0805,5820
0.0815,5685
0.0825,5600
0.0835,5771
0.0845,5744
0.0855,5694
0.0865,5599
0.0875,5626
0.0885,5602
0.0895,5523
0.0905,5523
0.0915,5726
0.0925,5511
0.0935,5552
0.0945,5516
0.0955,5572
0.0965,5568
0.0975,5441
0.0985,5555
0.0995,5465
0.1005,5546
0.1015,5454
0.1025,5561
0.1035,5399
0.1045,5460
0.1055,5516
0.1065,5432
0.1075,5459
0.1085,5536
0.1095,5511
0.1105,5311
0.1115,5497
0.1125,5477
0.1135,5297
0.1145,5462
0.1155,5456
0.1165,5487
0.1175,5489
0.1185,5492
0.1195,5449
0.1205,5357
0.1215,5308
0.1225,5295
0.1235,5391
0.1245,5343
0.1255,5281
0.1265,5305
0.1275,5415
0.1285,5437
0.1295,5207
0.1305,5334
0.1315,5465
0.1325,5300
0.1335,5307
0.1345,5248
0.1355,5351
0.1365,5270
0.1375,5334
0.1385,5307
0.1395,5261
0.1405,5278
0.1415,5149
0.1425,5334
0.1435,5322
0.1445,5365
0.1455,5292
0.1465,5319
0.1475,5265
0.1485,5243
0.1495,5392
0.1505,5305
0.1515,5359
0.1525,5329
0.1535,5198
0.1545,5253
0.1555,5343
0.1565,5338
0.1575,5276
0.1585,5312
0.1595,5232
0.1605,5275
0.1615,5406
0.1625,5139
0.1635,5303
0.1645,5370
0.1655,5218
0.1665,5114
0.1675,5385
0.1685,5348
0.1695,5387
0.1705,6540
0.1715,6925
0.1725,6707
0.1735,6532
0.1745,6418
0.1755,6316
0.1765,6380
0.1775,6329
0.1785,6279
0.1795,6151
0.1805,6066
0.1815,6099
0.1825,6009
0.1835,6046
0.1845,5907
0.1855,5938
0.1865,5795
0.1875,5834
0.1885,5820
0.1895,5942
0.1905,5851
0.1915,5754
0.1925,5867
0.1935,5743
0.1945,5737
0.1955,5671
0.1965,5662
0.1975,5677
0.1985,5761
0.1995,5674
0.2005,5601
0.2015,5592
0.2025,5600
0.2035,5590
0.2045,5569
0.2055,5395
0.2065,5565
0.2075,5612
0.2085,5483
0.2095,5507
0.2105,5594
0.2115,5546
0.2125,5492
0.2135,5948
0.2145,5858
0.2155,5993
0.2165,5854
0.2175,5889
0.2185,5649
0.2195,5674
0.2205,5876
0.2215,5641
0.2225,5636
0.2235,5575
0.2245,5480
0.2255,5570
0.2265,5586
0.2275,5535
0.2285,5573
0.2295,5594
0.2305,5525
0.2315,5519
0.2325,5511
0.2335,5664
0.2345,5561
0.2355,5564
0.2365,5527
0.2375,5463
0.2385,5532
0.2395,5476
0.2405,5523
0.2415,5297
0.2425,5357
0.2435,5412
0.2445,5507
0.2455,5440
0.2465,5554
0.2475,5515
0.2485,5485
0.2495,5384
0.2505,5385
0.2515,5449
0.2525,6261
0.2535,5400
0.2545,5327
0.2555,5376
0.2565,5387
0.2575,5376
0.2585,5414
0.2595,5448
0.2605,5503
0.2615,5458
0.2625,5417
0.2635,5479
0.2645,5452
0.2655,5650
0.2665,5400
0.2675,5378
0.2685,5550
0.2695,5484
0.2705,5463
0.2715,5463
0.2725,5489
0.2735,5606
0.2745,5455
0.2755,5437
0.2765,5517
0.2775,5550
0.2785,5611
0.2795,5576
0.2805,5578
0.2815,5680
0.2825,5650
0.2835,5600
0.2845,5694
0.2855,5507
0.2865,5772
0.2875,5789
0.2885,5854
0.2895,5778
0.2905,5932
0.2915,5955
0.2925,6013
0.2935,5834
0.2945,5852
0.2955,6017
0.2965,5993
0.2975,5975
0.2985,6065
0.2995,6051
0.3005,6165
0.3015,6149
0.3025,6272
0.3035,6140
0.3045,6192
0.3055,6494
0.3065,6283
0.3075,6463
0.3085,6456
0.3095,6599
0.3105,6678
0.3115,6766
0.3125,6674
0.3135,6928
0.3145,6812
0.3155,6980
0.3165,7051
0.3175,6977
0.3185,7197
0.3195,7180
0.3205,7374
0.3215,7439
0.3225,7558
0.3235,7690
0.3245,7932
0.3255,7858
0.3265,7953
0.3275,8094
0.3285,8348
0.3295,8355
0.3305,8435
0.3315,8669
0.3325,8879
0.3335,9026
0.3345,9007
0.3355,9703
0.3365,9567
0.3375,9910
0.3385,10090
0.3395,10308
0.3405,8450
0.3415,4242
0.3425,4077
0.3435,4088
0.3445,4063
0.3455,4014
0.3465,4042
0.3475,3929
0.3485,3830
0.3495,3734
0.3505,3683
0.3515,3813
0.3525,3748
0.3535,3575
0.3545,3524
0.3555,3517
0.3565,3545
0.3575,3482
0.3585,3416
0.3595,3485
0.3605,3443
0.3615,3397
