Bin Center, Count
0.0005, 6067
0.0015, 6260
0.0025, 6319
0.0035, 6311
0.0045, 6250
0.0055, 6110
0.0065, 6398
0.0075, 6240
0.0085, 6158
0.0095, 6459
0.0105, 6296
0.0115, 6159
0.0125, 6045
0.0135, 6186
0.0145, 6180
0.0155, 6070
0.0165, 6110
0.0175, 6047
0.0185, 6021
0.0195, 5974
0.0205, 5899
0.0215, 5948
0.0225, 5854
0.0235, 6007
0.0245, 5933
0.0255, 6002
0.0265, 5819
0.0275, 5925
0.0285, 5797
0.0295, 5803
0.0305, 5872
0.0315, 5774
0.0325, 5897
0.0335, 5802
0.0345, 5804
0.0355, 5771
0.0365, 5844
0.0375, 5822
0.0385, 5773
0.0395, 5827
0.0405, 5999
0.0415, 5795
0.0425, 5857
0.0435, 5668
0.0445, 5758
0.0455, 5837
0.0465, 5787
0.0475, 5811
0.0485, 5773
0.0495, 6011
0.0505, 5769
0.0515, 5593
0.0525, 5790
0.0535, 5723
0.0545, 5662
0.0555, 5740
0.0565, 5814
0.0575, 5853
0.0585, 20197
0.0595, 32246
0.0605, 5718
0.0615, 5785
0.0625, 5601
0.0635, 5699
0.0645, 5659
0.0655, 5717
0.0665, 5693
0.0675, 17091
0.0685, 5809
0.0695, 8995
0.0705, 5539
0.0715, 5566
0.0725, 5648
0.0735, 5566
0.0745, 5516
0.0755, 5578
0.0765, 5658
0.0775, 5561
0.0785, 5546
0.0795, 5602
0.0805, 5427
0.0815, 5463
0.0825, 5317
0.0835, 5461
0.0845, 5406
0.0855, 5415
0.0865, 5282
0.0875, 5469
0.0885, 5379
0.0895, 5454
0.0905, 5409
0.0915, 5343
0.0925, 5315
0.0935, 5335
0.0945, 5319
0.0955, 5414
0.0965, 5469
0.0975, 5398
0.0985, 5352
0.0995, 5316
0.1005, 5153
0.1015, 5254
0.1025, 5225
0.1035, 5275
0.1045, 5273
0.1055, 5344
0.1065, 5218
0.1075, 5291
0.1085, 5253
0.1095, 5243
0.1105, 5255
0.1115, 5239
0.1125, 5181
0.1135, 5305
0.1145, 5353
0.1155, 5271
0.1165, 5180
0.1175, 5298
0.1185, 5290
0.1195, 5142
0.1205, 5134
0.1215, 5138
0.1225, 5231
0.1235, 5125
0.1245, 5090
0.1255, 5355
0.1265, 5242
0.1275, 5280
0.1285, 5200
0.1295, 5148
0.1305, 5137
0.1315, 5183
0.1325, 5246
0.1335, 5059
0.1345, 5179
0.1355, 5015
0.1365, 5206
0.1375, 5095
0.1385, 5156
0.1395, 5127
0.1405, 5091
0.1415, 5045
0.1425, 5162
0.1435, 5025
0.1445, 5260
0.1455, 5139
0.1465, 5080
0.1475, 5135
0.1485, 5053
0.1495, 4923
0.1505, 5189
0.1515, 5133
0.1525, 5071
0.1535, 5229
0.1545, 5006
0.1555, 5185
0.1565, 5136
0.1575, 5079
0.1585, 5118
0.1595, 5119
0.1605, 5124
0.1615, 4999
0.1625, 5069
0.1635, 5029
0.1645, 5134
0.1655, 5106
0.1665, 5181
0.1675, 5016
0.1685, 5075
0.1695, 5048
0.1705, 5619
0.1715, 5991
0.1725, 5976
0.1735, 6093
0.1745, 6111
0.1755, 6006
0.1765, 6027
0.1775, 6005
0.1785, 5828
0.1795, 5982
0.1805, 5814
0.1815, 6069
0.1825, 5861
0.1835, 5862
0.1845, 5764
0.1855, 5662
0.1865, 5782
0.1875, 5809
0.1885, 5753
0.1895, 5714
0.1905, 5620
0.1915, 5635
0.1925, 5632
0.1935, 5486
0.1945, 5582
0.1955, 5523
0.1965, 5535
0.1975, 5431
0.1985, 5265
0.1995, 5403
0.2005, 5442
0.2015, 5498
0.2025, 5380
0.2035, 5446
0.2045, 5399
0.2055, 5382
0.2065, 5295
0.2075, 5302
0.2085, 5307
0.2095, 5316
0.2105, 5203
0.2115, 5147
0.2125, 5131
0.2135, 5602
0.2145, 5621
0.2155, 5626
0.2165, 5541
0.2175, 5579
0.2185, 5655
0.2195, 5481
0.2205, 5448
0.2215, 5668
0.2225, 5540
0.2235, 5476
0.2245, 5428
0.2255, 5600
0.2265, 5305
0.2275, 5264
0.2285, 5364
0.2295, 5375
0.2305, 5474
0.2315, 5395
0.2325, 5319
0.2335, 5459
0.2345, 5463
0.2355, 5313
0.2365, 5389
0.2375, 5358
0.2385, 5317
0.2395, 5319
0.2405, 5164
0.2415, 5114
0.2425, 5344
0.2435, 5319
0.2445, 5286
0.2455, 5365
0.2465, 5275
0.2475, 5232
0.2485, 5340
0.2495, 5173
0.2505, 5218
0.2515, 5289
0.2525, 5955
0.2535, 5302
0.2545, 5164
0.2555, 5206
0.2565, 5462
0.2575, 5196
0.2585, 5304
0.2595, 5261
0.2605, 5334
0.2615, 5147
0.2625, 5321
0.2635, 5129
0.2645, 5407
0.2655, 5249
0.2665, 5311
0.2675, 5304
0.2685, 5214
0.2695, 5238
0.2705, 5310
0.2715, 5233
0.2725, 5249
0.2735, 5365
0.2745, 5395
0.2755, 5358
0.2765, 5339
0.2775, 5280
0.2785, 5442
0.2795, 5447
0.2805, 5473
0.2815, 5353
0.2825, 5377
0.2835, 5527
0.2845, 5399
0.2855, 5577
0.2865, 5553
0.2875, 5372
0.2885, 5508
0.2895, 5632
0.2905, 5719
0.2915, 5704
0.2925, 5479
0.2935, 5704
0.2945, 5678
0.2955, 5636
0.2965, 5676
0.2975, 5794
0.2985, 5689
0.2995, 5774
0.3005, 6030
0.3015, 6078
0.3025, 6066
0.3035, 5854
0.3045, 6009
0.3055, 6202
0.3065, 6338
0.3075, 6107
0.3085, 6187
0.3095, 6296
0.3105, 6402
0.3115, 6296
0.3125, 6411
0.3135, 6429
0.3145, 6468
0.3155, 6584
0.3165, 6755
0.3175, 6694
0.3185, 6780
0.3195, 7012
0.3205, 6982
0.3215, 6993
0.3225, 7072
0.3235, 7283
0.3245, 7335
0.3255, 7451
0.3265, 7675
0.3275, 7608
0.3285, 7868
0.3295, 7885
0.3305, 8183
0.3315, 8170
0.3325, 8479
0.3335, 8526
0.3345, 8820
0.3355, 8990
0.3365, 9097
0.3375, 9305
0.3385, 9392
0.3395, 9515
0.3405, 7780
0.3415, 4108
0.3425, 4022
0.3435, 3864
0.3445, 3913
0.3455, 3853
0.3465, 3906
0.3475, 3843
0.3485, 3785
0.3495, 3649
0.3505, 3659
0.3515, 3665
0.3525, 3583
0.3535, 3651
0.3545, 3540
0.3555, 3502
0.3565, 3463
0.3575, 3473
0.3585, 3329
0.3595, 3313
0.3605, 3322
0.3615, 3347
0.3625, 3141
0.3635, 3309
0.3645, 3140
0.3655, 3169
0.3665, 3177
0.3675, 3142
0.3685, 2986
0.3695, 2994
0.3705, 2948
0.3715, 2890
0.3725, 2894
0.3735, 2911
0.3745, 2855
0.3755, 2758
0.3765, 2800
0.3775, 2747
0.3785, 2826
0.3795, 2664
0.3805, 2631
0.3815, 2651
0.3825, 2643
0.3835, 2585
0.3845, 2577
0.3855, 2421
0.3865, 2416
0.3875, 2548
0.3885, 2439
0.3895, 2470
0.3905, 2370
0.3915, 2356
0.3925, 2333
0.3935, 2402
0.3945, 2404
0.3955, 2417
0.3965, 2253
0.3975, 2243
0.3985, 2260
0.3995, 2140
0.4005, 1960
0.4015, 1920
0.4025, 1832
0.4035, 1927
0.4045, 1712
0.4055, 1818
0.4065, 1788
0.4075, 1683
0.4085, 1682
0.4095, 1454
0.4105, 1530
0.4115, 1506
0.4125, 1555
0.4135, 1466
0.4145, 1424
0.4155, 1422
0.4165, 1392
0.4175, 1385
0.4185, 1381
0.4195, 1391
0.4205, 1375
0.4215, 1291
0.4225, 1342
0.4235, 1260
0.4245, 1304
0.4255, 1359
0.4265, 1339
0.4275, 1295
0.4285, 1378
0.4295, 1296
0.4305, 1276
0.4315, 1333
0.4325, 1250
0.4335, 1285
0.4345, 1255
0.4355, 1228
0.4365, 1164
0.4375, 1274
0.4385, 1266
0.4395, 1205
0.4405, 1217
0.4415, 1158
0.4425, 1175
0.4435, 1154
0.4445, 1269
0.4455, 1126
0.4465, 1169
0.4475, 1147
0.4485, 1278
0.4495, 1107
0.4505, 1137
0.4515, 1100
0.4525, 1147
0.4535, 1102
0.4545, 1133
0.4555, 1130
0.4565, 1112
0.4575, 1081
0.4585, 1076
0.4595, 1087
0.4605, 1084
0.4615, 1100
0.4625, 1092
0.4635, 1098
0.4645, 1116
0.4655, 1070
0.4665, 1095
0.4675, 1083
0.4685, 1048
0.4695, 1155
0.4705, 1084
0.4715, 1084
0.4725, 1079
0.4735, 1131
0.4745, 1100
0.4755, 1089
0.4765, 1109
0.4775, 1130
0.4785, 1044
0.4795, 1045
0.4805, 1044
0.4815, 1081
0.4825, 1128
0.4835, 1044
0.4845, 1085
0.4855, 1110
0.4865, 1011
0.4875, 1129
0.4885, 1040
0.4895, 1054
0.4905, 1109
0.4915, 992
0.4925, 1042
0.4935, 1057
0.4945, 1047
0.4955, 1010
0.4965, 1037
0.4975, 1086
0.4985, 1097
0.4995, 1010
0.5005, 1010
0.5015, 1214
0.5025, 1048
0.5035, 965
0.5045, 1045
0.5055, 966
0.5065, 958
0.5075, 977
0.5085, 946
0.5095, 997
0.5105, 672310
0.5115, 1038
0.5125, 977
0.5135, 990
0.5145, 950
0.5155, 1037
0.5165, 1040
0.5175, 1022
0.5185, 1001
0.5195, 997
0.5205, 1025
0.5215, 939
0.5225, 976
0.5235, 962
0.5245, 910
0.5255, 997
0.5265, 924
0.5275, 899
0.5285, 908
0.5295, 930
0.5305, 950
0.5315, 889
0.5325, 933
0.5335, 917
0.5345, 933
0.5355, 934
0.5365, 1000
0.5375, 930
0.5385, 1003
0.5395, 918
0.5405, 940
0.5415, 925
